City,Year,"Higher Education Expenditure","Elementary & Secondary Education Expenditure","Libraries Expenditure","Public Welfare Expenditure","Cash Assistance Expenditure","Police Protection Expenditure","Fire Protection Expenditure","Corrections Expenditure","Census ID - City"
"NC: Charlotte (City)",1993,0,0,0,2,0,158,123,0,342060001
"NC: Charlotte (City)",1994,0,0,0,2,0,224,126,0,342060001
"NC: Charlotte (City)",1995,0,0,0,2,0,183,98,0,342060001
"NC: Charlotte (City)",1996,0,0,0,2,0,328,115,0,342060001
"NC: Charlotte (City)",1997,0,0,0,4,0,262,123,0,342060001
"NC: Charlotte (City)",1998,0,0,0,2,0,280,124,0,342060001
"NC: Charlotte (City)",1999,0,0,0,0,0,275,126,0,342060001
"NC: Charlotte (City)",2000,0,0,0,0,0,300,128,0,342060001
"NC: Charlotte (City)",2001,0,0,0,0,0,304,135,0,342060001
"NC: Charlotte (City)",2002,0,0,0,0,0,328,138,0,342060001
"NC: Charlotte (City)",2003,0,0,0,0,0,304,152,0,342060001
"NC: Charlotte (City)",2004,0,0,0,0,0,288,146,0,342060001
"NC: Charlotte (City)",2005,0,0,0,0,0,280,142,0,342060001
"NC: Charlotte (City)",2006,0,0,0,0,0,284,145,0,342060001
"NC: Charlotte (City)",2007,0,0,0,0,0,287,144,0,342060001
"NC: Charlotte (City)",2008,0,0,0,0,0,279,146,0,342060001
"NC: Charlotte (City)",2009,0,0,0,0,0,288,148,0,342060001
"NC: Charlotte (City)",2010,0,0,0,0,0,298,154,0,342060001
"NC: Charlotte (City)",2011,0,0,2,0,0,294,146,0,342060001
"NC: Charlotte (City)",2012,0,0,0,0,0,352,154,0,342060001
"NC: Charlotte (City)",2013,0,0,0,0,0,360,160,0,342060001
"NC: Charlotte (City)",2014,0,0,0,0,0,312,153,0,342060001
"NC: Charlotte (City)",2015,0,0,0,0,0,317,154,0,342060001
"NC: Raleigh (City)",1977,0,0,0,8,0,158,119,0,342092008
"NC: Raleigh (City)",1978,0,0,0,10,0,162,116,0,342092008
"NC: Raleigh (City)",1979,0,0,0,7,0,150,118,0,342092008
"NC: Raleigh (City)",1980,0,0,0,0,0,155,104,0,342092008
"NC: Raleigh (City)",1981,0,0,0,5,0,154,107,0,342092008
"NC: Raleigh (City)",1982,0,0,0,5,0,150,108,0,342092008
"NC: Raleigh (City)",1983,0,0,0,5,0,155,99,0,342092008
"NC: Raleigh (City)",1984,0,0,0,5,0,157,101,0,342092008
"NC: Raleigh (City)",1985,0,0,0,5,0,146,96,0,342092008
"NC: Raleigh (City)",1986,0,0,0,6,0,144,102,0,342092008
"NC: Raleigh (City)",1987,0,0,0,9,0,169,117,0,342092008
"NC: Raleigh (City)",1988,0,0,0,9,0,172,118,0,342092008
"NC: Raleigh (City)",1989,0,0,0,5,0,171,114,0,342092008
"NC: Raleigh (City)",1990,0,0,0,6,0,168,120,0,342092008
"NC: Raleigh (City)",1991,0,0,0,6,0,159,110,0,342092008
"NC: Raleigh (City)",1992,0,0,0,6,0,150,105,0,342092008
"NC: Raleigh (City)",1993,0,0,0,6,0,149,102,0,342092008
"NC: Raleigh (City)",1994,0,0,0,6,0,156,97,0,342092008
"NC: Raleigh (City)",1995,0,0,0,6,0,160,97,0,342092008
"NC: Raleigh (City)",1996,0,0,0,7,0,161,12,0,342092008
"NC: Raleigh (City)",1997,0,0,0,7,0,169,98,0,342092008
"NC: Raleigh (City)",1998,0,0,0,6,0,173,100,0,342092008
"NC: Raleigh (City)",1999,0,0,0,7,0,169,96,0,342092008
"NC: Raleigh (City)",2000,0,0,0,9,0,213,123,0,342092008
"NC: Raleigh (City)",2001,0,0,0,14,0,226,133,0,342092008
"NC: Raleigh (City)",2002,0,0,0,6,0,227,132,0,342092008
"NC: Raleigh (City)",2003,0,0,0,7,0,232,149,0,342092008
"NC: Raleigh (City)",2004,0,0,0,6,0,230,138,0,342092008
"NC: Raleigh (City)",2005,0,0,0,7,0,233,140,0,342092008
"NC: Raleigh (City)",2006,0,0,0,6,0,263,143,0,342092008
"NC: Raleigh (City)",2007,0,0,0,2,0,235,148,0,342092008
"NC: Raleigh (City)",2008,0,0,0,3,0,247,138,0,342092008
"NC: Raleigh (City)",2009,0,0,0,2,0,250,151,0,342092008
"NC: Raleigh (City)",2010,0,0,0,3,0,237,143,0,342092008
"NC: Raleigh (City)",2011,0,0,0,1,0,227,139,0,342092008
"NC: Raleigh (City)",2012,0,0,0,2,0,260,133,0,342092008
"NC: Raleigh (City)",2013,0,0,0,3,0,239,127,0,342092008
"NC: Raleigh (City)",2014,0,0,0,3,3,243,128,0,342092008
"NC: Raleigh (City)",2015,0,0,0,3,3,305,134,0,342092008
"NE: Omaha (City)",1977,0,0,27,1,0,144,110,0,282028004
"NE: Omaha (City)",1978,0,0,36,1,0,151,126,0,282028004
"NE: Omaha (City)",1979,0,1,30,1,0,156,121,0,282028004
"NE: Omaha (City)",1980,1,2,29,1,0,152,117,0,282028004
"NE: Omaha (City)",1981,1,1,34,0,0,156,120,0,282028004
"NE: Omaha (City)",1982,1,1,28,0,0,152,131,0,282028004
"NE: Omaha (City)",1983,0,0,29,0,0,161,127,0,282028004
"NE: Omaha (City)",1984,1,0,29,0,0,162,127,0,282028004
"NE: Omaha (City)",1985,1,0,33,0,0,167,125,0,282028004
"NE: Omaha (City)",1986,0,0,31,0,0,171,130,0,282028004
"NE: Omaha (City)",1987,1,0,30,0,0,175,130,0,282028004
"NE: Omaha (City)",1988,1,0,30,0,0,170,136,0,282028004
"NE: Omaha (City)",1989,1,0,32,0,0,171,128,0,282028004
"NE: Omaha (City)",1990,2,0,29,0,0,173,127,0,282028004
"NE: Omaha (City)",1991,1,0,29,0,0,175,127,0,282028004
"NE: Omaha (City)",1992,1,0,27,0,0,156,121,0,282028004
"NE: Omaha (City)",1993,1,0,25,0,0,170,119,0,282028004
"NE: Omaha (City)",1994,0,0,25,0,0,157,123,0,282028004
"NE: Omaha (City)",1995,0,0,23,0,0,158,121,0,282028004
"NE: Omaha (City)",1996,0,0,30,0,0,140,130,0,282028004
"NE: Omaha (City)",1997,0,0,32,0,0,177,134,0,282028004
"NE: Omaha (City)",1998,0,0,34,0,0,145,140,0,282028004
"NE: Omaha (City)",1999,0,0,49,0,0,187,143,0,282028004
"NE: Omaha (City)",2000,0,0,39,0,0,192,141,14,282028004
"NE: Omaha (City)",2001,0,0,38,0,0,220,165,0,282028004
"NE: Omaha (City)",2002,0,0,27,0,0,236,173,0,282028004
"NE: Omaha (City)",2003,0,0,25,0,0,248,191,0,282028004
"NE: Omaha (City)",2004,0,0,32,0,0,216,153,0,282028004
"NE: Omaha (City)",2005,0,0,32,2,0,210,148,0,282028004
"NE: Omaha (City)",2006,0,0,25,0,0,267,178,0,282028004
"NE: Omaha (City)",2007,0,0,27,0,0,252,195,0,282028004
"NE: Omaha (City)",2008,0,0,29,0,0,273,196,0,282028004
"NE: Omaha (City)",2009,0,0,43,3,0,247,192,0,282028004
"NE: Omaha (City)",2010,0,0,36,5,0,238,176,0,282028004
"NE: Omaha (City)",2011,0,0,35,0,0,207,149,0,282028004
"NE: Omaha (City)",2012,0,0,29,0,0,264,165,0,282028004
"NE: Omaha (City)",2013,0,0,36,0,0,271,155,0,282028004
"NE: Omaha (City)",2014,0,0,32,0,0,267,161,0,282028004
"NE: Omaha (City)",2015,0,0,30,0,0,282,166,0,282028004
"NM: Albuquerque (City)",1977,0,0,18,0,0,198,136,19,322001001
"NM: Albuquerque (City)",1978,0,0,18,0,0,182,131,20,322001001
"NM: Albuquerque (City)",1979,0,0,23,0,0,175,127,22,322001001
"NM: Albuquerque (City)",1980,0,0,21,0,0,177,116,35,322001001
"NM: Albuquerque (City)",1981,0,0,20,0,0,171,113,34,322001001
"NM: Albuquerque (City)",1982,0,0,29,0,0,177,111,32,322001001
"NM: Albuquerque (City)",1983,0,0,32,0,0,192,110,36,322001001
"NM: Albuquerque (City)",1984,0,0,28,0,0,206,119,48,322001001
"NM: Albuquerque (City)",1985,0,0,31,0,0,214,112,61,322001001
"NM: Albuquerque (City)",1986,0,0,34,0,0,241,78,66,322001001
"NM: Albuquerque (City)",1987,0,0,41,0,0,235,110,63,322001001
"NM: Albuquerque (City)",1988,0,0,35,0,0,212,116,66,322001001
"NM: Albuquerque (City)",1989,0,0,37,3,0,226,114,69,322001001
"NM: Albuquerque (City)",1990,0,0,39,5,0,269,119,68,322001001
"NM: Albuquerque (City)",1991,0,0,38,12,0,251,126,67,322001001
"NM: Albuquerque (City)",1992,0,0,29,20,0,244,126,68,322001001
"NM: Albuquerque (City)",1993,0,0,14,17,0,239,106,68,322001001
"NM: Albuquerque (City)",1994,0,0,13,13,0,250,115,70,322001001
"NM: Albuquerque (City)",1995,0,0,8,15,0,259,113,69,322001001
"NM: Albuquerque (City)",1996,0,0,8,16,0,270,116,87,322001001
"NM: Albuquerque (City)",1997,0,0,33,12,0,277,119,84,322001001
"NM: Albuquerque (City)",1998,0,0,39,12,0,300,114,87,322001001
"NM: Albuquerque (City)",1999,0,0,43,15,0,329,117,91,322001001
"NM: Albuquerque (City)",2000,0,0,28,16,0,331,123,100,322001001
"NM: Albuquerque (City)",2001,0,0,34,34,0,323,133,104,322001001
"NM: Albuquerque (City)",2002,0,0,31,17,0,296,141,104,322001001
"NM: Albuquerque (City)",2003,0,0,31,24,0,268,130,118,322001001
"NM: Albuquerque (City)",2004,0,0,34,24,0,274,134,119,322001001
"NM: Albuquerque (City)",2005,0,0,34,35,0,291,157,119,322001001
"NM: Albuquerque (City)",2006,0,0,36,47,0,294,159,117,322001001
"NM: Albuquerque (City)",2007,0,0,45,53,0,351,152,1,322001001
"NM: Albuquerque (City)",2008,0,0,36,46,0,341,157,0,322001001
"NM: Albuquerque (City)",2009,0,0,25,32,0,331,161,0,322001001
"NM: Albuquerque (City)",2010,0,0,26,29,0,358,146,0,322001001
"NM: Albuquerque (City)",2011,0,0,26,24,0,335,141,0,322001001
"NM: Albuquerque (City)",2012,0,0,26,49,0,314,137,0,322001001
"NM: Albuquerque (City)",2013,0,0,25,30,0,302,137,0,322001001
"NM: Albuquerque (City)",2014,0,0,26,37,0,285,137,0,322001001
"NM: Albuquerque (City)",2015,0,0,27,56,0,302,141,0,322001001
"NV: Las Vegas (City)",1977,0,0,14,0,0,2,181,0,292002002
"NV: Las Vegas (City)",1978,0,0,12,0,0,0,191,0,292002002
"NV: Las Vegas (City)",1979,0,0,1,0,0,0,169,0,292002002
"NV: Las Vegas (City)",1980,0,0,1,0,0,5,157,0,292002002
"NV: Las Vegas (City)",1981,0,0,1,1,0,0,174,1,292002002
"NV: Las Vegas (City)",1982,0,0,1,0,0,0,160,42,292002002
"NV: Las Vegas (City)",1983,0,0,1,0,0,2,151,25,292002002
"NV: Las Vegas (City)",1984,0,0,1,0,0,0,139,22,292002002
"NV: Las Vegas (City)",1985,0,0,1,0,0,0,149,24,292002002
"NV: Las Vegas (City)",1986,0,0,0,3,0,0,171,58,292002002
"NV: Las Vegas (City)",1987,0,0,0,3,0,0,173,45,292002002
"NV: Las Vegas (City)",1988,0,0,0,3,0,0,177,50,292002002
"NV: Las Vegas (City)",1989,0,0,0,3,0,0,191,50,292002002
"NV: Las Vegas (City)",1990,0,0,0,3,0,0,201,51,292002002
"NV: Las Vegas (City)",1991,0,0,0,3,0,0,164,47,292002002
"NV: Las Vegas (City)",1992,0,0,0,2,0,0,156,86,292002002
"NV: Las Vegas (City)",1993,0,0,0,2,0,0,154,50,292002002
"NV: Las Vegas (City)",1994,0,0,0,3,0,0,158,48,292002002
"NV: Las Vegas (City)",1995,0,0,0,2,0,0,164,49,292002002
"NV: Las Vegas (City)",1996,0,0,0,2,0,0,148,50,292002002
"NV: Las Vegas (City)",1997,0,0,0,2,0,0,147,82,292002002
"NV: Las Vegas (City)",1998,0,0,0,2,0,0,157,51,292002002
"NV: Las Vegas (City)",1999,0,0,0,2,0,0,166,50,292002002
"NV: Las Vegas (City)",2000,0,0,0,2,0,17,167,53,292002002
"NV: Las Vegas (City)",2001,0,0,0,2,0,14,196,53,292002002
"NV: Las Vegas (City)",2002,0,0,0,2,0,16,191,59,292002002
"NV: Las Vegas (City)",2003,0,0,0,2,0,17,235,70,292002002
"NV: Las Vegas (City)",2004,0,0,0,2,0,31,232,74,292002002
"NV: Las Vegas (City)",2005,0,0,0,2,0,20,236,93,292002002
"NV: Las Vegas (City)",2006,0,0,0,2,0,20,233,86,292002002
"NV: Las Vegas (City)",2007,0,0,0,2,0,22,245,94,292002002
"NV: Las Vegas (City)",2008,0,0,0,2,0,20,246,95,292002002
"NV: Las Vegas (City)",2009,0,0,0,2,0,23,222,93,292002002
"NV: Las Vegas (City)",2010,0,0,0,2,0,23,221,88,292002002
"NV: Las Vegas (City)",2011,0,0,0,2,0,20,202,84,292002002
"NV: Las Vegas (City)",2012,0,0,0,2,0,17,224,81,292002002
"NV: Las Vegas (City)",2013,0,0,0,1,0,16,219,84,292002002
"NV: Las Vegas (City)",2014,0,0,0,1,0,17,231,88,292002002
"NV: Las Vegas (City)",2015,0,0,0,0,0,16,259,95,292002002
"NY: Buffalo (City)",1977,0,"1,224",1,1,0,245,179,0,332015005
"NY: Buffalo (City)",1978,0,"1,341",0,1,0,240,210,0,332015005
"NY: Buffalo (City)",1979,0,"1,279",0,1,0,226,176,0,332015005
"NY: Buffalo (City)",1980,0,"1,254",0,0,0,208,166,0,332015005
"NY: Buffalo (City)",1981,0,"1,243",0,0,0,203,167,0,332015005
"NY: Buffalo (City)",1982,0,"1,278",0,0,0,195,161,0,332015005
"NY: Buffalo (City)",1983,0,"1,331",0,0,0,204,171,0,332015005
"NY: Buffalo (City)",1984,0,"1,381",0,0,0,216,186,0,332015005
"NY: Buffalo (City)",1985,0,"1,457",0,0,0,213,183,0,332015005
"NY: Buffalo (City)",1986,0,"1,548",3,0,0,219,178,0,332015005
"NY: Buffalo (City)",1987,0,"1,638",3,0,0,214,169,0,332015005
"NY: Buffalo (City)",1988,0,"1,773",1,0,0,238,195,0,332015005
"NY: Buffalo (City)",1989,0,"1,927",0,0,0,248,188,0,332015005
"NY: Buffalo (City)",1990,0,"1,877",0,0,0,264,205,0,332015005
"NY: Buffalo (City)",1991,0,"1,919",1,0,0,257,194,0,332015005
"NY: Buffalo (City)",1992,0,"1,946",0,0,0,296,223,0,332015005
"NY: Buffalo (City)",1993,0,"1,939",0,0,0,278,185,0,332015005
"NY: Buffalo (City)",1994,0,"2,060",0,0,0,287,193,0,332015005
"NY: Buffalo (City)",1995,0,"2,163",0,0,0,274,200,0,332015005
"NY: Buffalo (City)",1996,0,"2,164",0,0,0,274,205,0,332015005
"NY: Buffalo (City)",1997,0,"2,128",0,0,0,283,220,0,332015005
"NY: Buffalo (City)",1998,0,"2,235",0,0,0,296,214,0,332015005
"NY: Buffalo (City)",1999,0,"2,368",0,0,0,298,227,0,332015005
"NY: Buffalo (City)",2000,0,"2,659",0,0,0,339,245,0,332015005
"NY: Buffalo (City)",2001,0,"2,811",1,0,0,348,263,0,332015005
"NY: Buffalo (City)",2002,0,"2,724",1,0,0,322,249,0,332015005
"NY: Buffalo (City)",2003,0,"2,804",0,0,0,344,256,0,332015005
"NY: Buffalo (City)",2004,0,"3,272",1,0,0,308,240,0,332015005
"NY: Buffalo (City)",2005,0,"3,306",11,0,0,306,239,0,332015005
"NY: Buffalo (City)",2006,0,"3,311",5,0,0,293,257,0,332015005
"NY: Buffalo (City)",2007,0,"3,423",1,0,0,306,245,0,332015005
"NY: Buffalo (City)",2008,0,"3,489",1,0,0,317,248,0,332015005
"NY: Buffalo (City)",2009,0,"3,914",1,0,0,342,256,0,332015005
"NY: Buffalo (City)",2010,0,"3,711",1,0,0,335,260,0,332015005
"NY: Buffalo (City)",2011,0,"3,714",1,0,0,327,236,0,332015005
"NY: Buffalo (City)",2012,0,"3,642",0,0,0,325,237,0,332015005
"NY: Buffalo (City)",2013,0,"3,468",0,0,0,326,220,0,332015005
"NY: Buffalo (City)",2014,0,"3,316",0,0,0,325,235,0,332015005
"NY: Buffalo (City)",2015,0,"3,326",1,0,0,336,246,0,332015005
"NY: New York (City)",1977,269,"1,137",39,"1,922",711,387,163,67,332031001
"NY: New York (City)",1978,276,"1,111",41,"1,758",663,374,167,67,332031001
"NY: New York (City)",1979,257,996,40,"1,342",579,321,151,66,332031001
"NY: New York (City)",1980,234,"1,112",36,"1,168",512,316,152,76,332031001
"NY: New York (City)",1981,253,"1,058",38,"1,120",484,290,152,77,332031001
"NY: New York (City)",1982,258,976,38,"1,189",491,305,151,88,332031001
"NY: New York (City)",1983,93,"1,138",44,"1,076",500,323,164,99,332031001
"NY: New York (City)",1984,91,"1,208",45,"1,137",518,344,167,112,332031001
"NY: New York (City)",1985,80,"1,282",52,"1,175",528,370,176,150,332031001
"NY: New York (City)",1986,88,"1,360",56,"1,002",524,393,181,150,332031001
"NY: New York (City)",1987,87,"1,425",61,"1,024",507,420,186,187,332031001
"NY: New York (City)",1988,84,"1,492",61,"1,032",468,435,184,220,332031001
"NY: New York (City)",1989,93,"1,588",65,"1,142",458,426,188,242,332031001
"NY: New York (City)",1990,89,"1,677",68,"1,183",455,449,190,294,332031001
"NY: New York (City)",1991,85,"1,767",60,"1,331",506,438,173,269,332031001
"NY: New York (City)",1992,89,"1,739",54,"1,264",539,444,166,240,332031001
"NY: New York (City)",1993,95,"1,820",54,"1,272",568,453,171,242,332031001
"NY: New York (City)",1994,100,"1,864",63,"1,330",594,453,173,236,332031001
"NY: New York (City)",1995,104,"1,869",74,"1,263",578,487,171,233,332031001
"NY: New York (City)",1996,1,"1,781",68,"1,134",496,516,172,209,332031001
"NY: New York (City)",1997,1,"1,731",41,"1,079",429,525,193,213,332031001
"NY: New York (City)",1998,1,"1,934",38,"1,087",362,531,204,224,332031001
"NY: New York (City)",1999,0,"2,103",39,997,294,565,202,234,332031001
"NY: New York (City)",2000,0,"2,163",39,981,265,578,207,223,332031001
"NY: New York (City)",2001,0,"2,336",38,985,225,593,199,217,332031001
"NY: New York (City)",2002,101,"2,314",39,984,189,636,233,226,332031001
"NY: New York (City)",2003,103,"2,333",43,967,187,600,221,213,332031001
"NY: New York (City)",2004,118,"2,291",42,969,196,583,204,196,332031001
"NY: New York (City)",2005,116,"2,295",45,972,198,618,204,183,332031001
"NY: New York (City)",2006,121,"2,510",45,941,186,602,230,194,332031001
"NY: New York (City)",2007,125,"2,629",44,946,171,572,224,200,332031001
"NY: New York (City)",2008,127,"2,719",44,938,175,599,229,201,332031001
"NY: New York (City)",2009,136,"2,871",48,928,176,639,245,208,332031001
"NY: New York (City)",2010,150,"2,954",52,973,191,656,247,199,332031001
"NY: New York (City)",2011,160,"2,783",45,908,177,658,246,203,332031001
"NY: New York (City)",2012,151,"2,721",42,873,172,654,238,194,332031001
"NY: New York (City)",2013,135,"3,082",42,845,174,654,246,203,332031001
"NY: New York (City)",2014,317,"3,142",41,805,164,637,247,201,332031001
"NY: New York (City)",2015,167,"3,313",43,860,182,644,243,200,332031001
"OH: Cincinnati (City)",1977,"1,457",0,0,0,0,314,204,30,362031006
"OH: Cincinnati (City)",1978,0,0,0,0,0,256,185,31,362031006
"OH: Cincinnati (City)",1979,0,0,0,0,0,252,192,27,362031006
"OH: Cincinnati (City)",1980,0,0,0,0,0,264,195,34,362031006
"OH: Cincinnati (City)",1981,0,0,0,0,0,260,197,45,362031006
"OH: Cincinnati (City)",1982,0,0,0,0,0,261,203,40,362031006
"OH: Cincinnati (City)",1983,0,0,0,0,0,279,214,1,362031006
"OH: Cincinnati (City)",1984,0,0,0,0,0,283,218,0,362031006
"OH: Cincinnati (City)",1985,0,0,0,0,0,275,211,0,362031006
"OH: Cincinnati (City)",1986,0,0,0,0,0,284,220,0,362031006
"OH: Cincinnati (City)",1987,0,0,0,0,0,295,221,0,362031006
"OH: Cincinnati (City)",1988,0,0,0,0,0,278,219,0,362031006
"OH: Cincinnati (City)",1989,0,0,0,0,0,289,228,0,362031006
"OH: Cincinnati (City)",1990,0,0,0,0,0,291,231,0,362031006
"OH: Cincinnati (City)",1991,0,0,0,0,0,308,235,0,362031006
"OH: Cincinnati (City)",1992,0,0,0,0,0,315,240,0,362031006
"OH: Cincinnati (City)",1993,0,0,0,0,0,294,224,0,362031006
"OH: Cincinnati (City)",1994,0,0,0,0,0,299,225,0,362031006
"OH: Cincinnati (City)",1995,0,0,0,0,0,310,228,0,362031006
"OH: Cincinnati (City)",1996,0,0,0,0,0,319,272,0,362031006
"OH: Cincinnati (City)",1997,0,0,0,0,0,334,233,0,362031006
"OH: Cincinnati (City)",1998,0,0,0,0,0,354,240,0,362031006
"OH: Cincinnati (City)",1999,0,0,0,0,0,335,199,0,362031006
"OH: Cincinnati (City)",2000,0,0,0,0,0,378,262,0,362031006
"OH: Cincinnati (City)",2001,0,0,0,0,0,348,208,0,362031006
"OH: Cincinnati (City)",2002,0,0,0,0,0,395,258,0,362031006
"OH: Cincinnati (City)",2003,0,0,0,0,0,405,271,0,362031006
"OH: Cincinnati (City)",2004,0,0,0,0,0,434,279,0,362031006
"OH: Cincinnati (City)",2005,0,0,0,0,0,444,290,0,362031006
"OH: Cincinnati (City)",2006,0,0,0,12,0,434,300,0,362031006
"OH: Cincinnati (City)",2007,0,0,0,0,0,436,245,0,362031006
"OH: Cincinnati (City)",2008,0,0,0,0,0,406,253,0,362031006
"OH: Cincinnati (City)",2009,0,0,0,0,0,491,338,0,362031006
"OH: Cincinnati (City)",2010,0,0,0,0,0,434,306,0,362031006
"OH: Cincinnati (City)",2011,0,0,0,0,0,412,248,0,362031006
"OH: Cincinnati (City)",2012,0,0,0,0,0,411,271,0,362031006
"OH: Cincinnati (City)",2013,0,0,0,0,0,405,266,0,362031006
"OH: Cincinnati (City)",2014,0,0,0,0,0,448,354,0,362031006
"OH: Cincinnati (City)",2015,0,17,0,0,0,494,333,0,362031006
"OH: Cleveland (City)",1977,0,0,0,0,0,382,170,9,362018014
"OH: Cleveland (City)",1978,0,0,0,0,0,354,167,11,362018014
"OH: Cleveland (City)",1979,0,0,0,0,0,335,147,9,362018014
"OH: Cleveland (City)",1980,0,0,0,0,0,325,154,9,362018014
"OH: Cleveland (City)",1981,0,0,0,0,0,333,168,10,362018014
"OH: Cleveland (City)",1982,0,0,0,0,0,360,168,11,362018014
"OH: Cleveland (City)",1983,0,0,0,0,0,369,187,12,362018014
"OH: Cleveland (City)",1984,0,0,0,0,0,373,181,13,362018014
"OH: Cleveland (City)",1985,0,0,0,0,0,375,173,14,362018014
"OH: Cleveland (City)",1986,0,0,0,0,0,403,219,15,362018014
"OH: Cleveland (City)",1987,0,0,0,0,0,403,203,16,362018014
"OH: Cleveland (City)",1988,0,0,0,0,0,375,198,24,362018014
"OH: Cleveland (City)",1989,0,0,0,0,0,395,203,17,362018014
"OH: Cleveland (City)",1990,0,0,0,0,0,417,208,16,362018014
"OH: Cleveland (City)",1991,0,0,0,0,0,431,212,18,362018014
"OH: Cleveland (City)",1992,0,0,0,0,0,427,235,16,362018014
"OH: Cleveland (City)",1993,0,0,0,0,0,428,220,16,362018014
"OH: Cleveland (City)",1994,0,0,0,0,0,452,244,16,362018014
"OH: Cleveland (City)",1995,0,0,0,0,0,463,227,17,362018014
"OH: Cleveland (City)",1996,0,0,0,0,0,475,230,17,362018014
"OH: Cleveland (City)",1997,0,0,0,10,0,462,217,17,362018014
"OH: Cleveland (City)",1998,0,0,0,0,0,471,213,18,362018014
"OH: Cleveland (City)",1999,0,0,0,5,0,486,214,15,362018014
"OH: Cleveland (City)",2000,0,0,0,6,0,467,214,16,362018014
"OH: Cleveland (City)",2001,0,0,0,7,0,521,226,16,362018014
"OH: Cleveland (City)",2002,0,0,0,8,0,503,230,17,362018014
"OH: Cleveland (City)",2003,0,0,0,9,0,545,245,16,362018014
"OH: Cleveland (City)",2004,0,0,0,9,0,539,245,18,362018014
"OH: Cleveland (City)",2005,0,0,0,6,0,466,229,18,362018014
"OH: Cleveland (City)",2006,0,0,0,7,0,469,237,18,362018014
"OH: Cleveland (City)",2007,0,0,0,10,0,483,241,19,362018014
"OH: Cleveland (City)",2008,0,0,0,11,0,484,266,20,362018014
"OH: Cleveland (City)",2009,0,0,0,10,0,499,260,42,362018014
"OH: Cleveland (City)",2010,0,0,0,20,0,504,266,40,362018014
"OH: Cleveland (City)",2011,0,0,0,48,0,482,250,40,362018014
"OH: Cleveland (City)",2012,0,0,0,29,0,470,244,38,362018014
"OH: Cleveland (City)",2013,0,0,0,19,0,468,231,35,362018014
"OH: Cleveland (City)",2014,0,0,0,8,0,468,230,37,362018014
"OH: Cleveland (City)",2015,0,0,0,7,0,470,230,33,362018014
"OH: Columbus (City)",1977,0,0,27,0,0,214,134,10,362025003
"OH: Columbus (City)",1978,0,0,0,0,0,203,132,10,362025003
"OH: Columbus (City)",1979,0,0,0,0,0,210,132,10,362025003
"OH: Columbus (City)",1980,0,0,0,0,0,198,121,11,362025003
"OH: Columbus (City)",1981,0,0,0,0,0,215,130,12,362025003
"OH: Columbus (City)",1982,0,0,0,0,0,225,133,11,362025003
"OH: Columbus (City)",1983,0,0,0,0,0,234,138,3,362025003
"OH: Columbus (City)",1984,0,0,0,0,0,244,134,2,362025003
"OH: Columbus (City)",1985,0,0,2,0,0,232,134,3,362025003
"OH: Columbus (City)",1986,0,0,3,0,0,255,147,3,362025003
"OH: Columbus (City)",1987,0,0,0,0,0,268,156,3,362025003
"OH: Columbus (City)",1988,0,0,0,0,0,256,158,3,362025003
"OH: Columbus (City)",1989,0,0,0,0,0,266,167,3,362025003
"OH: Columbus (City)",1990,0,0,0,0,0,264,170,4,362025003
"OH: Columbus (City)",1991,0,0,0,0,0,293,171,3,362025003
"OH: Columbus (City)",1992,0,0,0,0,0,341,180,4,362025003
"OH: Columbus (City)",1993,0,0,0,0,0,305,182,4,362025003
"OH: Columbus (City)",1994,0,0,0,1,0,310,199,4,362025003
"OH: Columbus (City)",1995,0,0,0,0,0,311,197,3,362025003
"OH: Columbus (City)",1996,0,0,0,0,0,313,207,4,362025003
"OH: Columbus (City)",1997,0,0,0,0,0,338,218,4,362025003
"OH: Columbus (City)",1998,0,0,0,0,0,349,227,4,362025003
"OH: Columbus (City)",1999,0,0,0,0,0,351,224,4,362025003
"OH: Columbus (City)",2000,0,0,0,0,0,362,230,4,362025003
"OH: Columbus (City)",2001,0,0,0,0,0,355,275,4,362025003
"OH: Columbus (City)",2002,0,0,0,0,0,382,273,4,362025003
"OH: Columbus (City)",2003,0,0,0,0,0,333,214,4,362025003
"OH: Columbus (City)",2004,0,0,0,0,0,323,220,3,362025003
"OH: Columbus (City)",2005,0,0,0,0,0,332,223,3,362025003
"OH: Columbus (City)",2006,0,0,0,0,0,347,235,3,362025003
"OH: Columbus (City)",2007,0,0,0,0,0,354,239,3,362025003
"OH: Columbus (City)",2008,0,0,0,0,0,336,228,3,362025003
"OH: Columbus (City)",2009,0,0,0,0,0,375,252,4,362025003
"OH: Columbus (City)",2010,0,0,0,0,0,337,235,3,362025003
"OH: Columbus (City)",2011,0,0,0,0,0,324,233,3,362025003
"OH: Columbus (City)",2012,0,0,0,0,0,341,253,3,362025003
"OH: Columbus (City)",2013,0,0,0,0,0,350,237,3,362025003
"OH: Columbus (City)",2014,0,0,0,0,0,378,296,0,362025003
"OH: Columbus (City)",2015,0,2,0,0,0,362,255,4,362025003
"OK: Oklahoma (City)",1977,0,0,0,0,0,128,128,2,372055015
"OK: Oklahoma (City)",1978,0,0,0,0,0,140,136,7,372055015
"OK: Oklahoma (City)",1979,0,0,0,0,0,149,118,5,372055015
"OK: Oklahoma (City)",1980,0,0,0,0,0,149,111,7,372055015
"OK: Oklahoma (City)",1981,0,0,0,0,0,153,108,6,372055015
